ts_iso,usage_usec,user_usec,system_usec,usage_delta_ms,cpu_cores_used,cpu_pct_of_one_cpu,psi_some_avg10,psi_some_avg60,psi_some_avg300,psi_some_total,psi_full_avg10,psi_full_avg60,psi_full_avg300,psi_full_total
2025-11-18T14:41:08Z,17362263,12189943,5172319,NA,NA,NA,0.00,0.00,0.00,544127,0.00,0.00,0.00,523401
2025-11-18T14:41:10Z,17412711,12198858,5213853,50.448,0.050,5.0,0.00,0.00,0.00,545552,0.00,0.00,0.00,524150
2025-11-18T14:41:12Z,17461487,12205312,5256175,48.776,0.049,4.9,0.00,0.00,0.00,546424,0.00,0.00,0.00,524861
2025-11-18T14:41:13Z,17505271,12208896,5296374,43.784,0.044,4.4,0.00,0.00,0.00,549371,0.00,0.00,0.00,527391
2025-11-18T14:41:15Z,17543180,12211361,5331818,37.909,0.038,3.8,0.00,0.00,0.00,549711,0.00,0.00,0.00,527669
2025-11-18T14:41:16Z,17986511,12523384,5463126,443.331,0.443,44.3,0.00,0.00,0.00,628642,0.00,0.00,0.00,582076
2025-11-18T14:41:18Z,18363647,12800946,5562701,377.136,0.377,37.7,0.90,0.16,0.03,713577,0.54,0.09,0.02,641856
2025-11-18T14:41:19Z,18894678,13234647,5660030,531.031,0.531,53.1,1.46,0.28,0.06,824944,0.98,0.19,0.04,710746
2025-11-18T14:41:21Z,19355683,13581759,5773924,461.005,0.461,46.1,1.46,0.28,0.06,916866,0.98,0.19,0.04,764317
2025-11-18T14:41:22Z,19849390,13972239,5877151,493.707,0.494,49.4,2.46,0.50,0.10,1022521,1.53,0.31,0.06,825533
2025-11-18T14:41:24Z,20237511,14258370,5979141,388.121,0.388,38.8,3.10,0.68,0.14,1095256,1.98,0.43,0.09,879860
2025-11-18T14:41:25Z,20651190,14574603,6076586,413.679,0.414,41.4,3.27,0.79,0.17,1160136,1.98,0.49,0.10,909543
2025-11-18T14:41:27Z,21066572,14903728,6162843,415.382,0.415,41.5,3.27,0.79,0.17,1225589,1.98,0.49,0.10,952413
2025-11-18T14:41:28Z,21484657,15242512,6242145,418.085,0.418,41.8,3.58,0.93,0.20,1284542,2.16,0.57,0.12,988834
2025-11-18T14:41:30Z,21969954,15636067,6333887,485.297,0.485,48.5,3.47,1.00,0.22,1372949,2.13,0.61,0.14,1049792
2025-11-18T14:41:31Z,22364963,15941005,6423958,395.009,0.395,39.5,3.75,1.13,0.26,1459966,2.29,0.69,0.16,1101743
2025-11-18T14:41:33Z,22845262,16328525,6516737,480.299,0.480,48.0,3.75,1.13,0.26,1532156,2.29,0.69,0.16,1149529
2025-11-18T14:41:35Z,23263763,16673142,6590621,418.501,0.419,41.9,3.79,1.22,0.28,1607997,2.42,0.77,0.18,1198323
2025-11-18T14:41:36Z,23683089,17003114,6679975,419.326,0.419,41.9,4.01,1.35,0.31,1689929,2.52,0.84,0.20,1238594
2025-11-18T14:41:38Z,24210037,17427207,6782829,526.948,0.527,52.7,4.01,1.43,0.34,1765187,2.61,0.91,0.22,1291592
2025-11-18T14:41:39Z,24658002,17775795,6882207,447.965,0.448,44.8,4.01,1.52,0.37,1829768,2.50,0.95,0.23,1331655
2025-11-18T14:41:41Z,25144709,18160851,6983858,486.707,0.487,48.7,4.01,1.52,0.37,1909859,2.50,0.95,0.23,1378517
2025-11-18T14:41:42Z,25638914,18550742,7088172,494.205,0.494,49.4,4.00,1.60,0.39,2030946,2.41,0.98,0.24,1442397
2025-11-18T14:41:44Z,26132295,18928707,7203588,493.381,0.493,49.3,4.55,1.78,0.44,2138918,2.69,1.08,0.27,1499221
2025-11-18T14:41:46Z,26521362,19223353,7298008,389.067,0.389,38.9,5.17,1.98,0.49,2249742,2.93,1.18,0.29,1570722
2025-11-18T14:41:47Z,26978971,19547336,7431635,457.609,0.458,45.8,5.32,2.11,0.53,2360972,3.12,1.27,0.32,1653292
2025-11-18T14:41:49Z,27561105,19988981,7572124,582.134,0.582,58.2,5.08,2.17,0.55,2439669,2.92,1.29,0.33,1710424
2025-11-18T14:41:51Z,28128064,20428266,7699798,566.959,0.567,56.7,5.08,2.17,0.55,2562240,2.92,1.29,0.33,1795429
